,vulnerability_id,commit_id,spacy_similarity,rank
120,CVE-2018-8009,1373e3d8ad60e4da721a292912cb69243bfdf470,1.0,7
121,CVE-2018-8009,6a4ae6f6eeed1392a4828a5721fa1499f65bdde4,1.0,6
122,CVE-2018-8009,45a1c680c276c4501402f7bc4cebcf85a6fbc7f5,1.0,7
123,CVE-2018-8009,eaa2b8035b584dfcf7c79a33484eb2dffd3fdb11,1.0,4
124,CVE-2018-8009,65e55097da2bb3f2fbdf9ba1946da25fe58bec98,1.0,6
125,CVE-2018-8009,bd98d4e77cf9f7b2f4b1afb4d5e5bad0f6b2fde3,1.0,7
126,CVE-2018-12541,269a583330695d1418a4f5578f7169350b2e1332,0.9234914940890768,62
127,CVE-2020-1958,dbaabdd24710fef726c5730c609937706f456a44,0.8197356676742278,20
128,CVE-2018-11248,ff240b883490a84744705f9b4165719d7633f902,0.8864644178395089,5
129,CVE-2017-5637,6d9fc04c052adbc79bbbb1c63f3f00c816fb8e56,1.0,2
130,CVE-2019-0201,17c6b264f4e79ddb6e9d27b968d48456024d18cc,0.5308706266229524,50
131,CVE-2019-0201,5ff19e3672987bdde2843a3f031e2bf0010e35f1,0.9619573409428684,2
132,CVE-2019-0201,af741cb319d4760cfab1cd3b560635adacd8deca,0.5308706266229524,50
133,CVE-2016-9177,efcb46c710e3f56805b9257a63d1306882f4faf9,1.0,109
134,CVE-2018-9159,030e9d00125cbd1ad759668f85488aba1019c668,0.5930633643903402,208
135,CVE-2018-9159,db45b5640ab577057e630b1c14bd537517aa5a29,0.8838525513533312,11
