,cve,project_name,project_url,commit_sha,similarity,match
111,CVE-2020-1960,flink,https://github.com/apache/flink,58b58f4b16a2e25c95b465377d43a51ad8ef3f6,0.9905182304271724,True
112,CVE-2020-1960,flink,https://github.com/apache/flink,b8647b1ca019003ae939b7494bba4e54de167b6,0.9999999999999999,True
113,CVE-2020-1960,flink,https://github.com/apache/flink,d2a051267ffbeef5c1fd981860fb7032d9ac8a6,0.9905182304271724,True
114,CVE-2020-1960,flink,https://github.com/apache/flink,f9b4e0dea71abbcd6463c757577c70c45b3e6bb,0.9999999999999999,True
115,CVE-2019-17572,rocketmq,https://github.com/apache/rocketmq,f8f6fbe4aa7f5dee937e688322628c366b12a552,0.6703592354969418,True
116,CVE-2020-12480,playframework,https://github.com/playframework/playframework,681d8ee3f785a6105b0595d8f10a8ee5718e6d7b,0.9600292676452558,True
117,CVE-2014-0229,hadoop,https://github.com/apache/hadoop,957c56dbe5b1490490c09ddfbca9a4204c7c9d00,0.8811391190397259,True
118,CVE-2015-1776,hadoop,https://github.com/apache/hadoop,6b710a42e00acca405e085724c89cda016cf7442,0.7292405302350622,True
119,CVE-2016-5001,hadoop,https://github.com/apache/hadoop,04b8a19f81ee616c315eec639642439b3a18ad9,0.763008448037958,True
120,CVE-2016-5001,hadoop,https://github.com/apache/hadoop,82ec5dbb2505066da8a6ed008d943b5ada027b1,0.763008448037958,True
121,CVE-2017-3166,hadoop,https://github.com/apache/hadoop,a47d8283b136aab5b9fa4c18e6f51fa799d91a29,0.4291141549472278,True
122,CVE-2017-7669,hadoop,https://github.com/apache/hadoop,bbe3b0857d383c5e4dc4a7ade90a88a3e24338b,0.9650059184089015,True
123,CVE-2017-7669,hadoop,https://github.com/apache/hadoop,0319e74c2512d47d47ab9df834f5b6455be7d968,0.9650059184089015,True
124,CVE-2018-11768,hadoop,https://github.com/apache/hadoop,eeeea1d75d69d4619955e6b5ab5a7db18ee252b,0.49734931808200866,True
125,CVE-2018-11768,hadoop,https://github.com/apache/hadoop,96cedb87b94c07c11152580bf36978186d622b5,0.5222602488651841,True
126,CVE-2018-11768,hadoop,https://github.com/apache/hadoop,a868fb1c8fab1be927654b453b2eb9d98cb3066,0.30180220301519944,True
127,CVE-2018-8009,hadoop,https://github.com/apache/hadoop,6d7d192e4799b51931e55217e02baec14d49607,1.0,True
